strain	virus	gisaid_epi_isl	date	region	country	division
hCoV-19/England/ALDP-8FCD53/2020	betacoronavirus	EPI_ISL_551413	2020-06-24	Europe	United Kingdom	England
hCoV-19/England/ALDP-916AD3/2020	betacoronavirus	EPI_ISL_551435	2020-06-22	Europe	United Kingdom	England
hCoV-19/England/ALDP-904795/2020	betacoronavirus	EPI_ISL_551464	2020-06-24	Europe	United Kingdom	England
hCoV-19/England/ALDP-9009B1/2020	betacoronavirus	EPI_ISL_551504	2020-06-24	Europe	United Kingdom	England
hCoV-19/England/ALDP-933ED4/2020	betacoronavirus	EPI_ISL_551522	2020-06-20	Europe	United Kingdom	England
hCoV-19/England/ALDP-9342AA/2020	betacoronavirus	EPI_ISL_551545	2020-06-21	Europe	United Kingdom	England
hCoV-19/England/ALDP-92DF34/2020	betacoronavirus	EPI_ISL_551558	2020-06-20	Europe	United Kingdom	England
hCoV-19/England/MILK-93EBD2/2020	betacoronavirus	EPI_ISL_552814	2020-06-21	Europe	United Kingdom	England
hCoV-19/England/ALDP-9205A8/2020	betacoronavirus	EPI_ISL_552830	2020-06-23	Europe	United Kingdom	England
hCoV-19/England/ALDP-90321D/2020	betacoronavirus	EPI_ISL_552858	2020-06-24	Europe	United Kingdom	England
hCoV-19/England/ALDP-928DC6/2020	betacoronavirus	EPI_ISL_552885	2020-06-22	Europe	United Kingdom	England
hCoV-19/England/MILK-93C873/2020	betacoronavirus	EPI_ISL_553295	2020-06-21	Europe	United Kingdom	England
hCoV-19/England/ALDP-921D45/2020	betacoronavirus	EPI_ISL_553319	2020-06-23	Europe	United Kingdom	England
hCoV-19/England/ALDP-954B30/2020	betacoronavirus	EPI_ISL_553352	2020-06-13	Europe	United Kingdom	England
hCoV-19/England/ALDP-95A5B4/2020	betacoronavirus	EPI_ISL_553379	2020-06-11	Europe	United Kingdom	England
hCoV-19/England/ALDP-95A806/2020	betacoronavirus	EPI_ISL_553394	2020-06-12	Europe	United Kingdom	England
hCoV-19/England/ALDP-95A8BB/2020	betacoronavirus	EPI_ISL_553437	2020-06-13	Europe	United Kingdom	England
hCoV-19/England/ALDP-95A727/2020	betacoronavirus	EPI_ISL_553491	2020-06-11	Europe	United Kingdom	England
hCoV-19/England/ALDP-9552A3/2020	betacoronavirus	EPI_ISL_553532	2020-06-12	Europe	United Kingdom	England
hCoV-19/England/ALDP-95A921/2020	betacoronavirus	EPI_ISL_553576	2020-06-11	Europe	United Kingdom	England
hCoV-19/England/ALDP-95222E/2020	betacoronavirus	EPI_ISL_553643	2020-06-09	Europe	United Kingdom	England
hCoV-19/England/ALDP-9537C4/2020	betacoronavirus	EPI_ISL_553742	2020-06-08	Europe	United Kingdom	England
hCoV-19/England/ALDP-953BB9/2020	betacoronavirus	EPI_ISL_553768	2020-06-08	Europe	United Kingdom	England
hCoV-19/England/ALDP-9535BB/2020	betacoronavirus	EPI_ISL_553848	2020-06-08	Europe	United Kingdom	England
hCoV-19/England/ALDP-955AC9/2020	betacoronavirus	EPI_ISL_553878	2020-06-12	Europe	United Kingdom	England
hCoV-19/England/ALDP-955DA2/2020	betacoronavirus	EPI_ISL_554018	2020-06-12	Europe	United Kingdom	England
hCoV-19/England/ALDP-95611E/2020	betacoronavirus	EPI_ISL_554082	2020-06-08	Europe	United Kingdom	England
hCoV-19/Wales/MILK-956916/2020	betacoronavirus	EPI_ISL_554142	2020-06-06	Europe	United Kingdom	Wales
hCoV-19/England/MILK-956E71/2020	betacoronavirus	EPI_ISL_554211	2020-06-08	Europe	United Kingdom	England
hCoV-19/England/ALDP-950DE3/2020	betacoronavirus	EPI_ISL_554225	2020-06-17	Europe	United Kingdom	England
hCoV-19/England/ALDP-9511E6/2020	betacoronavirus	EPI_ISL_554336	2020-06-14	Europe	United Kingdom	England
hCoV-19/England/ALDP-9556D4/2020	betacoronavirus	EPI_ISL_554380	2020-06-12	Europe	United Kingdom	England
hCoV-19/England/ALDP-950A55/2020	betacoronavirus	EPI_ISL_554436	2020-06-14	Europe	United Kingdom	England
hCoV-19/England/ALDP-955416/2020	betacoronavirus	EPI_ISL_554552	2020-06-12	Europe	United Kingdom	England
hCoV-19/England/ALDP-950D3E/2020	betacoronavirus	EPI_ISL_554570	2020-06-14	Europe	United Kingdom	England
hCoV-19/England/ALDP-950B52/2020	betacoronavirus	EPI_ISL_554599	2020-06-14	Europe	United Kingdom	England
hCoV-19/England/MILK-957DCE/2020	betacoronavirus	EPI_ISL_554636	2020-06-09	Europe	United Kingdom	England
hCoV-19/England/MILK-957D64/2020	betacoronavirus	EPI_ISL_554724	2020-06-12	Europe	United Kingdom	England
hCoV-19/England/MILK-957C67/2020	betacoronavirus	EPI_ISL_554829	2020-06-13	Europe	United Kingdom	England
hCoV-19/England/MILK-958A6C/2020	betacoronavirus	EPI_ISL_554857	2020-06-15	Europe	United Kingdom	England
hCoV-19/England/ALDP-95CEA8/2020	betacoronavirus	EPI_ISL_554884	2020-06-15	Europe	United Kingdom	England
hCoV-19/England/ALDP-95C60A/2020	betacoronavirus	EPI_ISL_554885	2020-06-20	Europe	United Kingdom	England
hCoV-19/England/ALDP-94D4F3/2020	betacoronavirus	EPI_ISL_555106	2020-06-14	Europe	United Kingdom	England
hCoV-19/England/ALDP-950703/2020	betacoronavirus	EPI_ISL_555225	2020-06-16	Europe	United Kingdom	England
hCoV-19/England/ALDP-94FC62/2020	betacoronavirus	EPI_ISL_555298	2020-06-15	Europe	United Kingdom	England
hCoV-19/England/ALDP-952B23/2020	betacoronavirus	EPI_ISL_555366	2020-06-16	Europe	United Kingdom	England
hCoV-19/England/ALDP-954884/2020	betacoronavirus	EPI_ISL_555427	2020-06-09	Europe	United Kingdom	England
hCoV-19/England/ALDP-954523/2020	betacoronavirus	EPI_ISL_555429	2020-06-13	Europe	United Kingdom	England
hCoV-19/England/ALDP-94E076/2020	betacoronavirus	EPI_ISL_555479	2020-06-17	Europe	United Kingdom	England
hCoV-19/England/ALDP-95ADBC/2020	betacoronavirus	EPI_ISL_555516	2020-06-15	Europe	United Kingdom	England
hCoV-19/England/ALDP-94492A/2020	betacoronavirus	EPI_ISL_555630	2020-06-07	Europe	United Kingdom	England
hCoV-19/England/ALDP-95AF2F/2020	betacoronavirus	EPI_ISL_555732	2020-06-13	Europe	United Kingdom	England
hCoV-19/England/ALDP-95AC28/2020	betacoronavirus	EPI_ISL_555741	2020-06-13	Europe	United Kingdom	England
hCoV-19/England/ALDP-95AEAA/2020	betacoronavirus	EPI_ISL_555761	2020-06-13	Europe	United Kingdom	England
hCoV-19/England/ALDP-94F233/2020	betacoronavirus	EPI_ISL_555842	2020-06-19	Europe	United Kingdom	England
hCoV-19/England/ALDP-94CC29/2020	betacoronavirus	EPI_ISL_555909	2020-06-16	Europe	United Kingdom	England
hCoV-19/England/ALDP-94CBB3/2020	betacoronavirus	EPI_ISL_555926	2020-06-15	Europe	United Kingdom	England
hCoV-19/Wales/ALDP-94C746/2020	betacoronavirus	EPI_ISL_555928	2020-06-15	Europe	United Kingdom	Wales
hCoV-19/England/ALDP-94C96E/2020	betacoronavirus	EPI_ISL_555952	2020-06-16	Europe	United Kingdom	England
hCoV-19/England/ALDP-94F691/2020	betacoronavirus	EPI_ISL_555960	2020-06-18	Europe	United Kingdom	England
hCoV-19/England/ALDP-94F38B/2020	betacoronavirus	EPI_ISL_555977	2020-06-20	Europe	United Kingdom	England
hCoV-19/England/ALDP-94C755/2020	betacoronavirus	EPI_ISL_556061	2020-06-15	Europe	United Kingdom	England
hCoV-19/England/ALDP-94F1AF/2020	betacoronavirus	EPI_ISL_556328	2020-06-20	Europe	United Kingdom	England
hCoV-19/England/ALDP-949B2F/2020	betacoronavirus	EPI_ISL_556331	2020-06-11	Europe	United Kingdom	England
hCoV-19/England/ALDP-94D1B0/2020	betacoronavirus	EPI_ISL_556346	2020-06-15	Europe	United Kingdom	England
hCoV-19/England/ALDP-94EBA2/2020	betacoronavirus	EPI_ISL_556366	2020-06-17	Europe	United Kingdom	England
hCoV-19/England/ALDP-94A4E7/2020	betacoronavirus	EPI_ISL_556375	2020-06-11	Europe	United Kingdom	England
hCoV-19/England/ALDP-94ECEB/2020	betacoronavirus	EPI_ISL_556385	2020-06-20	Europe	United Kingdom	England
hCoV-19/England/ALDP-94AF5F/2020	betacoronavirus	EPI_ISL_556398	2020-06-11	Europe	United Kingdom	England
